"target_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","target_id.1","ens_gene","ext_gene","significant"
"ENSMUST00000176751.2",3.81438295918193,0.93731357925374,3.53820037359589,0.00642792780192802,0.0414038776692056,-2.08219855198148,"ENSMUST00000176751.2","ENSMUSG00000093593","Gm20683","Higher in 4x"
"ENSMUST00000159535.2",3.22348724625206,0.190567462212217,3.64166867302124,0.00547356393887951,0.0381304139108632,-2.08350783181636,"ENSMUST00000159535.2","ENSMUSG00000023994","Nfya","Higher in 4x"
"ENSMUST00000181574.8",-4.95101160263441,-0.643931886367793,-3.97208441404112,0.00330655455285892,0.0288602589653266,-2.08401317054254,"ENSMUST00000181574.8",NA,NA,"Higher in WT"
"ENSMUST00000225540.2",7.86251346157293,4.13608875743549,3.53113997472595,0.00649912162227053,0.0416774936573284,-2.08404990060688,"ENSMUST00000225540.2","ENSMUSG00000021939","Ctsb","Higher in 4x"
"ENSMUST00000140843.9",6.97575855675786,2.32752623373125,3.71161493355102,0.00491374830482685,0.0359327502314648,-2.08445614604085,"ENSMUST00000140843.9","ENSMUSG00000033705","Stard9","Higher in 4x"
"ENSMUST00000022706.7",5.8281441438422,1.58185250589858,3.75279270352283,0.00461270072468269,0.0346296924663577,-2.08516757530344,"ENSMUST00000022706.7","ENSMUSG00000022110","Sucla2","Higher in 4x"
"ENSMUST00000125024.8",4.22078182352735,0.532677951488426,3.63211961460351,0.00555505042242481,0.0383605718387454,-2.08583488581014,"ENSMUST00000125024.8","ENSMUSG00000047909","Ankrd16","Higher in 4x"
"ENSMUST00000108055.9",4.68626789468271,1.1435514791686,3.73631797430513,0.00473074218841072,0.0351730324829554,-2.08679236077448,"ENSMUST00000108055.9","ENSMUSG00000028438","Kif24","Higher in 4x"
"ENSMUST00000186210.2",3.91088998085512,-1.03642127087793,4.01799178106506,0.00308651646218979,0.0278400726341055,-2.08692504910739,"ENSMUST00000186210.2","ENSMUSG00000038252","Ncapd2","Higher in 4x"
"ENSMUST00000031355.10",5.48864990322132,2.78101960742086,3.54561807988809,0.00635401197754348,0.0411965754654852,-2.08900798583821,"ENSMUST00000031355.10","ENSMUSG00000029407","Uso1","Higher in 4x"
"ENSMUST00000019464.8",3.63222959227874,-0.710507885740093,3.95546618929844,0.00339026039910667,0.0292535757582472,-2.08907518274858,"ENSMUST00000019464.8","ENSMUSG00000019320","Noxo1","Higher in 4x"
"ENSMUST00000235288.2",4.36229508524991,0.90526962209925,3.74997821497026,0.00463264427354434,0.0346884273467024,-2.08963985279745,"ENSMUST00000235288.2","ENSMUSG00000025200","Cwf19l1","Higher in 4x"
"ENSMUST00000140577.2",4.88646314024446,0.0405437302400482,3.95571095855499,0.0033890113190024,0.0292496184214101,-2.08996301367058,"ENSMUST00000140577.2","ENSMUSG00000089847","Timm10b","Higher in 4x"
"ENSMUST00000123645.2",3.53649536627505,-2.01730588687201,4.07401437169616,0.0028388615659355,0.0267203446202282,-2.09123622351026,"ENSMUST00000123645.2","ENSMUSG00000066551","Hmgb1","Higher in 4x"
"ENSMUST00000115675.9",4.60436251010181,3.26867562993274,3.50313930693652,0.00678971526322435,0.0427019837388081,-2.09124929623693,"ENSMUST00000115675.9","ENSMUSG00000031153","Gripap1","Higher in 4x"
